LOCATION_ZIPCODE_x,Households,Median_income,White_Resident_Percentage
1035,2162,74737,90.7
1863,3984,74695,89
1071,551,74688,95.8
2072,10628,74688,84.6
2452,5117,74289,74.8
2771,5094,74242,97.7
1007,5730,74221,94.4
1267,2478,74167,94.2
1835,5074,74156,90.8
1749,7657,74082,91.9
1915,15925,73980,93.9
2575,942,73843,97.7
2139,14064,73819,67.7
1243,181,73750,93.9
1583,2177,73474,97.7
1501,6262,73105,95
1366,520,72917,96.2
2330,4437,72804,96.2
1504,3451,72699,94.7
2171,7507,72638,67.1
2127,15720,72472,81.6
1536,2622,72292,90.5
2791,81,72198,100
2534,406,72069,91.6
1008,493,71979,100
1338,81,71691,100
1527,5141,71676,96.8
2747,6481,71674,92.4
1351,914,71587,97.5
1098,518,71500,97.7
1752,15740,71424,80.9
2648,2692,71067,96.8
1462,4247,71055,92.3
1515,833,71020,96.9
1468,1460,70455,100
1096,992,70438,99.3
2188,6348,70414,85.5
1436,1342,70313,100
1966,3199,70288,96.8
2646,865,70096,95.8
2338,2903,69917,94.8
1270,310,69444,99.4
2113,4236,69398,91.3
2743,3883,69180,98.1
2645,4056,69115,92.9
2635,1441,68990,96.8
2655,1583,68965,98.2
1757,10752,68784,88.6
1073,2350,68693,97.6
1844,17584,68587,77
1039,616,68500,99.4
2650,536,68446,100
1005,1835,68361,96.3
1030,4495,68326,91.5
1072,629,68203,93.6
1571,4135,68053,96
2559,1842,67759,94.5
2453,11449,67721,70.9
1373,1929,67465,93
2143,11196,67461,79.4
1540,4231,67126,93.7
2191,3518,67015,96.9
2535,427,66875,89.7
2370,6626,66860,93.3
2141,6357,66701,63.6
1432,3181,66630,83
1588,3650,66591,95.3
2562,1296,66579,99.5
1464,2283,66453,88.8
1606,7796,66411,84.4
2631,4170,66389,98.4
1057,3480,66343,98.6
1253,284,66250,96.5
2675,3028,66064,95.5
2649,6083,65768,91.5
1038,1259,65536,99
1011,551,65324,95.3
1118,5552,65231,73
1524,2636,65225,96.9
2703,16619,65141,87.2
1908,1593,65083,95.9
1223,1035,65033,97.7
1032,258,65000,99.2
1521,1052,64868,94.5
1510,5777,64867,88.5
2748,4970,64808,95.1
1062,4473,64727,90
1611,919,64598,81.1
1235,1191,64507,98.7
2632,4836,64286,94.9
1258,179,64250,97.2
2152,7447,64169,92.6
1506,1368,63889,98.8
2131,11626,63876,54.3
2543,361,63828,100
2368,11921,63325,46.2
2170,7601,63201,71.3
2536,7974,62924,92.1
1236,574,62917,97.9
2343,4325,62909,85.2
1602,9172,62888,79.8
1075,7039,62408,92.9
1129,2827,62280,70.1
2118,12520,62208,53.1
1960,21458,62137,90.4
2642,2207,62091,98.4
1337,1158,62037,95.2
2725,964,61875,90.2
